name,description,releaseDate,numberOfCards,imageUrl
Base Set,Put the power in your hand with the Pokemon trading card game! ,1999-01-09,102,https://archives.bulbagarden.net/media/upload/thumb/9/90/Base_Set_Booster_Box.jpg/1024px-Base_Set_Booster_Box.jpg
Jungle,Can You Catch All the Jungle Cards?,1999-06-16,64,https://archives.bulbagarden.net/media/upload/6/69/Jungle_Logo.png
Fossil,Can you dig up all the Fossil cards?,1999-10-10,62,https://archives.bulbagarden.net/media/upload/7/7f/Fossil_Logo.png
Base Set 2,Be the Best Pokemon Trainer You Can Be!,2000-02-24,130,https://archives.bulbagarden.net/media/upload/thumb/2/20/Base_Set_2_Logo.png/800px-Base_Set_2_Logo.png
